algorithm_name,category,available,status,notes
BIKE-L1,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
BIKE-L3,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
BIKE-L5,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-348864,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-348864f,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-460896,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-460896f,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-6688128,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-6688128f,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-6960119,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-6960119f,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-8192128,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Classic-McEliece-8192128f,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
FrodoKEM-1344-AES,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
FrodoKEM-1344-SHAKE,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
FrodoKEM-640-AES,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
FrodoKEM-640-SHAKE,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
FrodoKEM-976-AES,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
FrodoKEM-976-SHAKE,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
Kyber1024,Kyber-family,true,AVAILABLE,Enabled by the local liboqs build.
Kyber512,Kyber-family,true,AVAILABLE,Enabled by the local liboqs build.
Kyber768,Kyber-family,true,AVAILABLE,Enabled by the local liboqs build.
ML-KEM-1024,ML-KEM,true,AVAILABLE,Enabled by the local liboqs build.
ML-KEM-512,ML-KEM,true,AVAILABLE,Enabled by the local liboqs build.
ML-KEM-768,ML-KEM,true,AVAILABLE,Enabled by the local liboqs build.
NTRU-HPS-2048-509,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
NTRU-HPS-2048-677,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
NTRU-HPS-4096-1229,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
NTRU-HPS-4096-821,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
NTRU-HRSS-1373,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
NTRU-HRSS-701,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
sntrup761,Other KEM,true,AVAILABLE,Enabled by the local liboqs build.
