iteration,algorithm,rsa_key_size_bits,oaep_hash,aes_session_key_size,public_key_size,private_key_size,wrapped_key_size,keygen_ms,wrap_ms,unwrap_ms,recovered_key_match,total_artifact_size,status,notes
1,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,60.18666599993594,1.3352499954635277,1.5651249996153638,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
2,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,147.92666699213441,0.1134999911300838,1.479499987908639,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
3,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1217,256,38.08112499245908,0.08199999865610152,1.5401249984279275,True,1767,PASS,Transient in-memory comparison iteration; no keys persisted.
4,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,65.86154201067984,0.09237499034497887,1.5060829900903627,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
5,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,61.366167006781325,0.13062500511296093,1.5772909973748028,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
6,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1215,256,32.29204099625349,0.09429099736735225,1.5409159968839958,True,1765,PASS,Transient in-memory comparison iteration; no keys persisted.
7,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,35.62933299690485,0.12004100426565856,1.5182920033112168,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
8,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1217,256,67.86516700231005,0.0957080046646297,1.59200000052806,True,1767,PASS,Transient in-memory comparison iteration; no keys persisted.
9,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,52.565541001968086,0.08974999946076423,1.5739999944344163,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
10,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,57.90141600300558,0.12587499804794788,1.5189170080702752,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
11,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1217,256,51.699208008358255,0.09779199899639934,1.492583003710024,True,1767,PASS,Transient in-memory comparison iteration; no keys persisted.
12,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,69.50412500009406,0.1280839933315292,1.5207090036710724,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
13,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1217,256,31.726290995720774,0.09591600974090397,1.544957995065488,True,1767,PASS,Transient in-memory comparison iteration; no keys persisted.
14,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,22.091832986916415,0.08833300671540201,1.5209159901132807,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
15,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,26.649457999155857,0.0837499974295497,1.5030840004328638,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
16,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,25.573167004040442,0.0871660013217479,1.525333005702123,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
17,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,38.382083002943546,0.07095900946296751,1.5107499930309132,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
18,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,22.57433399790898,0.08520900155417621,1.5046250045998022,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
19,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,165.29941699991468,0.11325000377837569,1.491832997999154,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
20,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1217,256,216.9650419964455,0.10166599531657994,1.545708000776358,True,1767,PASS,Transient in-memory comparison iteration; no keys persisted.
21,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,35.679791995789856,0.08387499838136137,1.4866669953335077,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
22,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,52.788166009122506,0.08962499850895256,1.557542011141777,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
23,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,21.067458001198247,0.08054199861362576,1.4488750020973384,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
24,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1216,256,30.18733400676865,0.08350001007784158,1.4914170023985207,True,1766,PASS,Transient in-memory comparison iteration; no keys persisted.
25,RSA-OAEP-2048-SHA256,2048,SHA256,32,294,1218,256,58.05799999507144,0.1229579938808456,1.4937079977244139,True,1768,PASS,Transient in-memory comparison iteration; no keys persisted.
